Product Link,Price,Ratings
/IKICH-Portable-Ice-Maker-Machine/dp/B07Q33HD6X/ref=zg_bs_appliances_1/146-4737732-6865921?_encoding=UTF8&psc=1&refRID=8MG0N4D8EKQNKC555JNR,$141.00,4.4 out of 5 stars
/Arctic-King-ARC070S0ARBB-Chest-Freezer/dp/B084B2XB7G/ref=zg_bs_appliances_2/146-4737732-6865921?_encoding=UTF8&psc=1&refRID=8MG0N4D8EKQNKC555JNR,$267.00,4.1 out of 5 stars
/Freezer-Basement-Apartment-Timeshare-Business/dp/B08241QW3R/ref=zg_bs_appliances_3/146-4737732-6865921?_encoding=UTF8&psc=1&refRID=8MG0N4D8EKQNKC555JNR,$224.99,4.3 out of 5 stars
/Midea-MRU01M3ABB-Freezer-Cu-ft-Pounds/dp/B088WX5BGQ/ref=zg_bs_appliances_4/146-4737732-6865921?_encoding=UTF8&psc=1&refRID=8MG0N4D8EKQNKC555JNR,$157.55,4.5 out of 5 stars
/KUPPET-Compact-Portable-Capacity-Semi-Automatic/dp/B07TC3659T/ref=zg_bs_appliances_5/146-4737732-6865921?_encoding=UTF8&psc=1&refRID=8MG0N4D8EKQNKC555JNR,$165.99,4.3 out of 5 stars
/Broan-Ventless-Under-Cabinet-Range/dp/B000HZY0HC/ref=zg_bs_appliances_6/146-4737732-6865921?_encoding=UTF8&psc=1&refRID=8MG0N4D8EKQNKC555JNR,$39.00,4.6 out of 5 stars
/GE-Profile-Countertop-Nugget-Maker/dp/B07YF9SGBW/ref=zg_bs_appliances_7/146-4737732-6865921?_encoding=UTF8&psc=1&refRID=8MG0N4D8EKQNKC555JNR,$549.00,4.5 out of 5 stars
/Freezer-Compact-Apartment-Home-Efficient/dp/B07XBXZP2H/ref=zg_bs_appliances_8/146-4737732-6865921?_encoding=UTF8&psc=1&refRID=8MG0N4D8EKQNKC555JNR,$225.00,4.3 out of 5 stars
/COSTWAY-Electric-Machines-Portable-Controller/dp/B074R7GK8V/ref=zg_bs_appliances_9/146-4737732-6865921?_encoding=UTF8&psc=1&refRID=8MG0N4D8EKQNKC555JNR,$89.99,3.8 out of 5 stars
/Countertop-Machine-hrs-Ice-Compact-Lightweight/dp/B07R56HW4G/ref=zg_bs_appliances_10/146-4737732-6865921?_encoding=UTF8&psc=1&refRID=8MG0N4D8EKQNKC555JNR,$139.99,4.5 out of 5 stars
